;age;geo;sex;deg_urb;Every day;Every month;Every week;Less than once a month;Never or not in the last 12 months;clusters
1542;From 45 to 54 years;Latvia;Males;Cities;3.4;38.5;26.0;17.6;14.4;0
1543;From 45 to 54 years;Latvia;Males;Rural areas;2.3;43.7;25.2;19.4;9.4;0
1544;From 45 to 54 years;Latvia;Males;Towns and suburbs;1.1;43.2;17.4;21.6;16.7;0
1548;From 45 to 54 years;Lithuania;Females;Cities;0.0;48.5;12.1;29.6;9.7;0
1549;From 45 to 54 years;Lithuania;Females;Rural areas;0.0;41.9;3.7;35.8;18.7;0
1550;From 45 to 54 years;Lithuania;Females;Towns and suburbs;0.0;49.8;8.4;39.6;2.2;0
1554;From 45 to 54 years;Lithuania;Males;Cities;0.0;49.1;29.1;10.0;11.8;0
1572;From 45 to 54 years;Malta;Females;Cities;3.5;26.4;19.1;18.5;32.5;0
1573;From 45 to 54 years;Malta;Females;Rural areas;10.7;25.0;14.3;17.9;32.1;0
1574;From 45 to 54 years;Malta;Females;Towns and suburbs;6.0;26.4;28.8;12.2;26.6;0
1591;From 45 to 54 years;Norway;Females;Rural areas;0.3;57.6;28.2;0.0;13.9;0
1602;From 45 to 54 years;Poland;Females;Cities;0.8;29.9;14.6;31.5;23.1;0
1603;From 45 to 54 years;Poland;Females;Rural areas;0.5;25.4;5.6;40.6;28.0;0
1604;From 45 to 54 years;Poland;Females;Towns and suburbs;1.1;31.1;10.1;33.5;24.2;0
1609;From 45 to 54 years;Poland;Males;Rural areas;4.7;39.4;22.7;23.5;9.7;0
1610;From 45 to 54 years;Poland;Males;Towns and suburbs;4.5;36.6;28.2;18.7;12.0;0
1614;From 45 to 54 years;Portugal;Females;Cities;11.1;19.5;24.1;18.9;26.4;0
1644;From 45 to 54 years;Slovakia;Females;Cities;1.3;34.8;12.4;29.5;21.9;0
1645;From 45 to 54 years;Slovakia;Females;Rural areas;1.6;30.0;6.6;29.5;32.3;0
1646;From 45 to 54 years;Slovakia;Females;Towns and suburbs;0.0;27.0;9.0;27.1;36.9;0
1650;From 45 to 54 years;Slovakia;Males;Cities;4.5;29.2;28.4;23.5;14.4;0
1656;From 45 to 54 years;Slovenia;Females;Cities;3.2;35.3;16.9;17.4;27.3;0
1657;From 45 to 54 years;Slovenia;Females;Rural areas;3.8;23.8;17.6;24.7;30.0;0
1658;From 45 to 54 years;Slovenia;Females;Towns and suburbs;1.7;32.5;15.5;19.9;30.4;0
1668;From 45 to 54 years;Spain;Females;Cities;10.1;17.2;26.1;16.0;30.6;0
1670;From 45 to 54 years;Spain;Females;Towns and suburbs;8.4;22.0;22.7;12.3;34.6;0
1710;From 55 to 64 years;Austria;Females;Cities;5.2;34.3;29.2;12.5;18.8;0
1711;From 55 to 64 years;Austria;Females;Rural areas;2.8;38.1;20.0;16.7;22.3;0
1712;From 55 to 64 years;Austria;Females;Towns and suburbs;4.9;30.3;29.3;14.9;20.7;0
1771;From 55 to 64 years;Czechia;Females;Rural areas;5.3;25.1;19.0;30.7;19.9;0
1772;From 55 to 64 years;Czechia;Females;Towns and suburbs;3.1;27.3;23.1;30.0;16.5;0
1794;From 55 to 64 years;Estonia;Females;Cities;0.0;27.0;5.4;48.1;19.5;0
1795;From 55 to 64 years;Estonia;Females;Rural areas;0.1;25.8;5.0;43.1;26.0;0
1796;From 55 to 64 years;Estonia;Females;Towns and suburbs;0.0;31.5;4.4;42.9;21.2;0
1800;From 55 to 64 years;Estonia;Males;Cities;1.5;26.9;24.4;31.4;15.8;0
1801;From 55 to 64 years;Estonia;Males;Rural areas;10.7;33.2;25.0;21.7;9.5;0
1842;From 55 to 64 years;Hungary;Females;Cities;6.6;29.4;14.0;26.7;23.4;0
1854;From 55 to 64 years;Iceland;Females;Cities;0.6;43.2;20.1;17.0;19.1;0
1855;From 55 to 64 years;Iceland;Females;Rural areas;0.0;34.6;17.6;23.6;24.2;0
1856;From 55 to 64 years;Iceland;Females;Towns and suburbs;0.0;46.3;5.4;25.7;22.7;0
1878;From 55 to 64 years;Latvia;Females;Cities;0.4;28.6;6.5;42.0;22.5;0
1879;From 55 to 64 years;Latvia;Females;Rural areas;1.5;26.1;3.4;46.1;22.9;0
1880;From 55 to 64 years;Latvia;Females;Towns and suburbs;0.8;29.4;3.8;41.8;24.2;0
1884;From 55 to 64 years;Latvia;Males;Cities;1.4;33.9;28.4;17.1;19.1;0
1885;From 55 to 64 years;Latvia;Males;Rural areas;5.0;36.5;18.9;24.0;15.5;0
1886;From 55 to 64 years;Latvia;Males;Towns and suburbs;2.7;44.2;10.9;23.2;19.0;0
1890;From 55 to 64 years;Lithuania;Females;Cities;0.9;37.9;4.0;38.8;18.3;0
1891;From 55 to 64 years;Lithuania;Females;Rural areas;0.0;30.7;1.9;41.3;26.0;0
1892;From 55 to 64 years;Lithuania;Females;Towns and suburbs;0.0;18.9;5.3;50.5;25.3;0
1896;From 55 to 64 years;Lithuania;Males;Cities;0.8;47.9;26.4;14.0;10.7;0
1897;From 55 to 64 years;Lithuania;Males;Rural areas;2.6;48.3;18.3;15.3;15.6;0
1920;From 55 to 64 years;Malta;Males;Cities;11.4;30.7;26.7;12.0;19.3;0
1944;From 55 to 64 years;Poland;Females;Cities;0.9;26.4;7.7;35.7;29.2;0
1946;From 55 to 64 years;Poland;Females;Towns and suburbs;0.6;20.1;6.4;38.5;34.3;0
1950;From 55 to 64 years;Poland;Males;Cities;5.6;33.3;25.0;22.4;13.7;0
1951;From 55 to 64 years;Poland;Males;Rural areas;4.7;37.1;20.2;22.7;15.3;0
1952;From 55 to 64 years;Poland;Males;Towns and suburbs;5.3;31.1;24.2;21.3;18.1;0
1974;From 55 to 64 years;Romania;Males;Cities;5.8;37.1;22.7;7.4;27.0;0
1986;From 55 to 64 years;Slovakia;Females;Cities;1.7;26.7;9.8;29.6;32.3;0
1987;From 55 to 64 years;Slovakia;Females;Rural areas;2.0;23.8;8.5;31.5;34.1;0
1994;From 55 to 64 years;Slovakia;Males;Towns and suburbs;10.8;25.0;26.8;18.4;19.0;0
1998;From 55 to 64 years;Slovenia;Females;Cities;5.0;25.7;16.8;21.7;30.9;0
1999;From 55 to 64 years;Slovenia;Females;Rural areas;5.2;21.4;18.0;22.0;33.5;0
2052;From 65 to 74 years;Austria;Females;Cities;9.7;30.6;22.6;16.3;20.8;0
2053;From 65 to 74 years;Austria;Females;Rural areas;3.2;32.7;17.9;16.7;29.6;0
2054;From 65 to 74 years;Austria;Females;Towns and suburbs;4.6;31.0;26.2;12.2;26.1;0
2112;From 65 to 74 years;Czechia;Females;Cities;10.3;24.1;23.6;25.5;16.4;0
2113;From 65 to 74 years;Czechia;Females;Rural areas;3.1;25.8;16.5;28.3;26.4;0
2114;From 65 to 74 years;Czechia;Females;Towns and suburbs;4.9;23.4;15.3;29.7;26.7;0
2136;From 65 to 74 years;Estonia;Females;Cities;0.0;17.6;2.8;53.4;26.3;0
2137;From 65 to 74 years;Estonia;Females;Rural areas;0.7;15.8;3.2;48.4;31.9;0
2142;From 65 to 74 years;Estonia;Males;Cities;3.6;37.8;19.1;20.8;18.7;0
2143;From 65 to 74 years;Estonia;Males;Rural areas;6.9;30.4;16.1;28.2;18.3;0
2144;From 65 to 74 years;Estonia;Males;Towns and suburbs;11.4;29.6;14.6;28.3;16.1;0
2149;From 65 to 74 years;Finland;Females;Rural areas;0.6;26.1;16.7;26.5;30.2;0
2150;From 65 to 74 years;Finland;Females;Towns and suburbs;0.8;28.6;28.2;20.1;22.3;0
2196;From 65 to 74 years;Iceland;Females;Cities;1.4;38.4;17.5;21.1;21.6;0
2197;From 65 to 74 years;Iceland;Females;Rural areas;0.0;36.9;9.9;22.4;30.8;0
2198;From 65 to 74 years;Iceland;Females;Towns and suburbs;0.0;13.4;17.3;37.6;31.7;0
2203;From 65 to 74 years;Iceland;Males;Rural areas;0.0;30.0;21.6;24.8;23.5;0
2204;From 65 to 74 years;Iceland;Males;Towns and suburbs;0.0;34.6;22.2;15.0;28.2;0
2209;From 65 to 74 years;Ireland;Females;Rural areas;3.2;22.7;26.7;12.0;35.3;0
2226;From 65 to 74 years;Latvia;Males;Cities;6.5;30.9;15.3;25.0;22.3;0
2227;From 65 to 74 years;Latvia;Males;Rural areas;2.4;41.2;9.2;30.6;16.6;0
2228;From 65 to 74 years;Latvia;Males;Towns and suburbs;9.3;25.5;14.0;38.8;12.4;0
2238;From 65 to 74 years;Lithuania;Males;Cities;2.2;28.0;14.0;21.5;34.4;0
2239;From 65 to 74 years;Lithuania;Males;Rural areas;0.7;36.0;13.3;26.4;23.6;0
2240;From 65 to 74 years;Lithuania;Males;Towns and suburbs;4.2;28.9;25.4;25.4;16.2;0
2262;From 65 to 74 years;Malta;Males;Cities;15.5;26.9;15.2;21.5;20.9;0
2292;From 65 to 74 years;Poland;Males;Cities;4.7;26.0;17.0;28.2;24.1;0
2293;From 65 to 74 years;Poland;Males;Rural areas;3.0;27.0;14.3;29.8;25.8;0
2294;From 65 to 74 years;Poland;Males;Towns and suburbs;3.5;26.9;16.4;28.0;25.2;0
2316;From 65 to 74 years;Romania;Males;Cities;5.3;35.6;19.1;7.5;32.5;0
2318;From 65 to 74 years;Romania;Males;Towns and suburbs;11.8;30.3;25.3;10.9;21.7;0
2334;From 65 to 74 years;Slovakia;Males;Cities;9.3;21.6;19.1;23.3;26.7;0
2335;From 65 to 74 years;Slovakia;Males;Rural areas;13.6;31.5;18.8;15.6;20.5;0
2336;From 65 to 74 years;Slovakia;Males;Towns and suburbs;8.1;22.7;21.2;17.7;30.3;0
2340;From 65 to 74 years;Slovenia;Females;Cities;5.9;23.6;24.8;17.8;28.0;0
2342;From 65 to 74 years;Slovenia;Females;Towns and suburbs;6.8;24.2;14.3;23.2;31.4;0
