;age;geo;sex;isced11;Frequent drinkers;Non-drinkers;Occasional drinkers;clusters
553;From 15 to 24 years;Malta;Males;Tertiary education (levels 5-8);65.89999999999999;9.7;24.4;2
554;From 15 to 24 years;Malta;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);57.199999999999996;4.7;38.1;2
564;From 15 to 24 years;Norway;Females;Less than primary, primary and lower secondary education (levels 0-2);10.8;22.6;66.6;0
565;From 15 to 24 years;Norway;Females;Tertiary education (levels 5-8);20.1;3.4;76.5;0
566;From 15 to 24 years;Norway;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);12.299999999999999;13.9;73.8;0
570;From 15 to 24 years;Norway;Males;Less than primary, primary and lower secondary education (levels 0-2);15.8;23.8;60.4;0
571;From 15 to 24 years;Norway;Males;Tertiary education (levels 5-8);36.9;10.7;52.3;0
572;From 15 to 24 years;Norway;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);30.2;7.2;62.5;0
576;From 15 to 24 years;Poland;Females;Less than primary, primary and lower secondary education (levels 0-2);2.8;75.4;21.799999999999997;1
577;From 15 to 24 years;Poland;Females;Tertiary education (levels 5-8);16.0;16.0;68.0;0
578;From 15 to 24 years;Poland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);10.6;30.8;58.5;0
582;From 15 to 24 years;Poland;Males;Less than primary, primary and lower secondary education (levels 0-2);6.3;60.9;32.8;1
583;From 15 to 24 years;Poland;Males;Tertiary education (levels 5-8);30.7;12.6;56.7;0
584;From 15 to 24 years;Poland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);26.5;10.3;63.2;0
588;From 15 to 24 years;Portugal;Females;Less than primary, primary and lower secondary education (levels 0-2);6.5;50.9;42.6;1
589;From 15 to 24 years;Portugal;Females;Tertiary education (levels 5-8);17.5;24.3;58.2;0
590;From 15 to 24 years;Portugal;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.0;27.1;58.9;0
594;From 15 to 24 years;Portugal;Males;Less than primary, primary and lower secondary education (levels 0-2);22.700000000000003;37.2;40.099999999999994;0
595;From 15 to 24 years;Portugal;Males;Tertiary education (levels 5-8);61.6;5.8;32.6;2
596;From 15 to 24 years;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);35.1;14.7;50.2;0
600;From 15 to 24 years;Romania;Females;Less than primary, primary and lower secondary education (levels 0-2);1.0;79.4;19.6;1
601;From 15 to 24 years;Romania;Females;Tertiary education (levels 5-8);0.0;59.7;40.3;1
602;From 15 to 24 years;Romania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.9;67.3;30.8;1
606;From 15 to 24 years;Romania;Males;Less than primary, primary and lower secondary education (levels 0-2);7.0;69.5;23.5;1
607;From 15 to 24 years;Romania;Males;Tertiary education (levels 5-8);12.5;35.2;52.3;0
608;From 15 to 24 years;Romania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);12.799999999999999;44.3;42.9;1
618;From 15 to 24 years;Slovakia;Females;Less than primary, primary and lower secondary education (levels 0-2);3.3;66.4;30.3;1
619;From 15 to 24 years;Slovakia;Females;Tertiary education (levels 5-8);10.4;19.3;70.4;0
620;From 15 to 24 years;Slovakia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.7;33.4;58.9;0
624;From 15 to 24 years;Slovakia;Males;Less than primary, primary and lower secondary education (levels 0-2);10.1;54.0;35.8;1
625;From 15 to 24 years;Slovakia;Males;Tertiary education (levels 5-8);25.4;8.3;66.3;0
626;From 15 to 24 years;Slovakia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);23.4;17.5;59.0;0
630;From 15 to 24 years;Slovenia;Females;Less than primary, primary and lower secondary education (levels 0-2);10.2;38.4;51.5;0
631;From 15 to 24 years;Slovenia;Females;Tertiary education (levels 5-8);18.3;12.5;69.2;0
632;From 15 to 24 years;Slovenia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);17.5;20.5;62.0;0
636;From 15 to 24 years;Slovenia;Males;Less than primary, primary and lower secondary education (levels 0-2);14.7;31.9;53.400000000000006;0
637;From 15 to 24 years;Slovenia;Males;Tertiary education (levels 5-8);46.9;13.6;39.5;2
638;From 15 to 24 years;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);41.0;9.0;50.0;0
642;From 15 to 24 years;Spain;Females;Less than primary, primary and lower secondary education (levels 0-2);11.5;52.0;36.4;1
643;From 15 to 24 years;Spain;Females;Tertiary education (levels 5-8);22.6;19.0;58.4;0
644;From 15 to 24 years;Spain;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);18.3;26.7;55.0;0
648;From 15 to 24 years;Spain;Males;Less than primary, primary and lower secondary education (levels 0-2);20.099999999999998;44.1;35.8;1
649;From 15 to 24 years;Spain;Males;Tertiary education (levels 5-8);63.8;9.7;26.5;2
650;From 15 to 24 years;Spain;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);39.800000000000004;16.1;44.2;2
654;From 15 to 24 years;Sweden;Females;Less than primary, primary and lower secondary education (levels 0-2);15.2;23.2;61.6;0
656;From 15 to 24 years;Sweden;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);24.5;14.6;60.9;0
660;From 15 to 24 years;Sweden;Males;Less than primary, primary and lower secondary education (levels 0-2);14.9;22.4;62.7;0
661;From 15 to 24 years;Sweden;Males;Tertiary education (levels 5-8);50.2;14.5;35.2;2
662;From 15 to 24 years;Sweden;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);34.199999999999996;8.3;57.5;0
666;From 15 to 24 years;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.2;97.0;2.9000000000000004;1
667;From 15 to 24 years;Türkiye;Females;Tertiary education (levels 5-8);0.7;86.3;13.0;1
668;From 15 to 24 years;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);0.5;90.3;9.2;1
672;From 15 to 24 years;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);3.1;83.4;13.5;1
673;From 15 to 24 years;Türkiye;Males;Tertiary education (levels 5-8);4.4;75.0;20.7;1
674;From 15 to 24 years;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.2;71.4;24.299999999999997;1
678;From 15 to 24 years;United Kingdom;Females;Less than primary, primary and lower secondary education (levels 0-2);15.8;44.1;40.0;1
679;From 15 to 24 years;United Kingdom;Females;Tertiary education (levels 5-8);43.8;8.9;47.2;2
680;From 15 to 24 years;United Kingdom;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);29.2;21.0;49.8;0
681;From 15 to 24 years;United Kingdom;Males;Less than primary, primary and lower secondary education (levels 0-2);20.7;31.1;48.2;0
682;From 15 to 24 years;United Kingdom;Males;Tertiary education (levels 5-8);44.9;16.7;38.3;2
683;From 15 to 24 years;United Kingdom;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);41.4;23.1;35.5;2
684;From 25 to 34 years;Austria;Females;Less than primary, primary and lower secondary education (levels 0-2);4.0;44.4;51.6;1
685;From 25 to 34 years;Austria;Females;Tertiary education (levels 5-8);27.700000000000003;16.8;55.5;0
686;From 25 to 34 years;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.1;25.3;60.5;0
690;From 25 to 34 years;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);24.900000000000002;25.9;49.199999999999996;0
691;From 25 to 34 years;Austria;Males;Tertiary education (levels 5-8);58.6;5.0;36.4;2
692;From 25 to 34 years;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);42.0;10.0;48.0;2
696;From 25 to 34 years;Belgium;Females;Less than primary, primary and lower secondary education (levels 0-2);7.5;76.0;16.4;1
697;From 25 to 34 years;Belgium;Females;Tertiary education (levels 5-8);35.2;11.1;53.6;0
698;From 25 to 34 years;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);19.3;25.6;55.099999999999994;0
702;From 25 to 34 years;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);42.2;26.8;31.0;2
703;From 25 to 34 years;Belgium;Males;Tertiary education (levels 5-8);67.5;7.2;25.3;2
704;From 25 to 34 years;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);54.3;13.7;32.0;2
708;From 25 to 34 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);6.2;61.1;32.6;1
709;From 25 to 34 years;Bulgaria;Females;Tertiary education (levels 5-8);23.799999999999997;21.0;55.2;0
710;From 25 to 34 years;Bulgaria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);15.8;25.2;58.9;0
714;From 25 to 34 years;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);36.4;24.3;39.2;2
715;From 25 to 34 years;Bulgaria;Males;Tertiary education (levels 5-8);39.6;18.4;42.099999999999994;2
716;From 25 to 34 years;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);40.4;13.8;45.9;2
721;From 25 to 34 years;Croatia;Females;Tertiary education (levels 5-8);9.9;46.2;44.0;1
722;From 25 to 34 years;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.1;56.5;35.4;1
726;From 25 to 34 years;Croatia;Males;Less than primary, primary and lower secondary education (levels 0-2);44.900000000000006;34.9;20.200000000000003;2
727;From 25 to 34 years;Croatia;Males;Tertiary education (levels 5-8);26.8;20.7;52.4;0
728;From 25 to 34 years;Croatia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);29.1;25.4;45.4;0
732;From 25 to 34 years;Cyprus;Females;Less than primary, primary and lower secondary education (levels 0-2);3.0;80.6;16.3;1
733;From 25 to 34 years;Cyprus;Females;Tertiary education (levels 5-8);14.0;45.4;40.6;1
734;From 25 to 34 years;Cyprus;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.199999999999999;66.8;26.099999999999998;1
738;From 25 to 34 years;Cyprus;Males;Less than primary, primary and lower secondary education (levels 0-2);19.8;45.9;34.3;1
739;From 25 to 34 years;Cyprus;Males;Tertiary education (levels 5-8);34.6;21.1;44.2;0
740;From 25 to 34 years;Cyprus;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);32.2;24.3;43.5;0
745;From 25 to 34 years;Czechia;Females;Tertiary education (levels 5-8);31.1;16.2;52.800000000000004;0
746;From 25 to 34 years;Czechia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);25.7;11.7;62.599999999999994;0
751;From 25 to 34 years;Czechia;Males;Tertiary education (levels 5-8);60.8;2.3;37.0;2
752;From 25 to 34 years;Czechia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);57.7;7.3;35.0;2
757;From 25 to 34 years;Denmark;Females;Tertiary education (levels 5-8);29.3;9.9;60.8;0
758;From 25 to 34 years;Denmark;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);12.0;18.5;69.6;0
762;From 25 to 34 years;Denmark;Males;Less than primary, primary and lower secondary education (levels 0-2);32.0;16.0;52.0;0
763;From 25 to 34 years;Denmark;Males;Tertiary education (levels 5-8);52.9;5.7;41.400000000000006;2
764;From 25 to 34 years;Denmark;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);44.8;5.9;49.400000000000006;2
768;From 25 to 34 years;Estonia;Females;Less than primary, primary and lower secondary education (levels 0-2);15.4;20.9;63.6;0
769;From 25 to 34 years;Estonia;Females;Tertiary education (levels 5-8);20.0;10.8;69.3;0
770;From 25 to 34 years;Estonia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.4;15.9;69.7;0
774;From 25 to 34 years;Estonia;Males;Less than primary, primary and lower secondary education (levels 0-2);35.2;8.3;56.5;0
775;From 25 to 34 years;Estonia;Males;Tertiary education (levels 5-8);45.9;4.6;49.5;2
776;From 25 to 34 years;Estonia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);35.400000000000006;4.3;60.3;0
781;From 25 to 34 years;Finland;Females;Tertiary education (levels 5-8);25.3;9.9;64.69999999999999;0
782;From 25 to 34 years;Finland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.0;11.0;67.9;0
784;From 25 to 34 years;Finland;Males;Tertiary education (levels 5-8);47.400000000000006;10.5;42.099999999999994;2
785;From 25 to 34 years;Finland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);46.5;6.4;47.0;2
792;From 25 to 34 years;Germany;Females;Less than primary, primary and lower secondary education (levels 0-2);17.2;29.7;53.099999999999994;0
793;From 25 to 34 years;Germany;Females;Tertiary education (levels 5-8);38.0;12.8;49.2;0
794;From 25 to 34 years;Germany;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);25.3;15.9;58.8;0
798;From 25 to 34 years;Germany;Males;Less than primary, primary and lower secondary education (levels 0-2);40.8;21.4;37.9;2
799;From 25 to 34 years;Germany;Males;Tertiary education (levels 5-8);61.3;5.7;33.0;2
800;From 25 to 34 years;Germany;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);54.0;9.1;36.9;2
804;From 25 to 34 years;Greece;Females;Less than primary, primary and lower secondary education (levels 0-2);18.0;44.8;37.2;1
805;From 25 to 34 years;Greece;Females;Tertiary education (levels 5-8);26.3;23.6;50.2;0
806;From 25 to 34 years;Greece;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);13.9;34.5;51.5;0
810;From 25 to 34 years;Greece;Males;Less than primary, primary and lower secondary education (levels 0-2);33.8;27.0;39.2;0
811;From 25 to 34 years;Greece;Males;Tertiary education (levels 5-8);52.7;2.9;44.5;2
812;From 25 to 34 years;Greece;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);45.800000000000004;13.2;41.0;2
816;From 25 to 34 years;Hungary;Females;Less than primary, primary and lower secondary education (levels 0-2);0.0;58.9;41.1;1
817;From 25 to 34 years;Hungary;Females;Tertiary education (levels 5-8);13.3;24.5;62.2;0
818;From 25 to 34 years;Hungary;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.1;35.6;57.3;0
822;From 25 to 34 years;Hungary;Males;Less than primary, primary and lower secondary education (levels 0-2);27.5;30.9;41.599999999999994;0
823;From 25 to 34 years;Hungary;Males;Tertiary education (levels 5-8);38.3;9.8;52.0;0
824;From 25 to 34 years;Hungary;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);29.099999999999998;12.6;58.2;0
828;From 25 to 34 years;Iceland;Females;Less than primary, primary and lower secondary education (levels 0-2);4.1;9.8;86.1;0
829;From 25 to 34 years;Iceland;Females;Tertiary education (levels 5-8);17.7;5.3;76.9;0
830;From 25 to 34 years;Iceland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.7;4.7;87.7;0
834;From 25 to 34 years;Iceland;Males;Less than primary, primary and lower secondary education (levels 0-2);20.8;19.6;59.7;0
835;From 25 to 34 years;Iceland;Males;Tertiary education (levels 5-8);31.4;3.7;64.8;0
836;From 25 to 34 years;Iceland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);27.2;5.0;67.9;0
840;From 25 to 34 years;Ireland;Females;Less than primary, primary and lower secondary education (levels 0-2);24.3;29.7;46.0;0
841;From 25 to 34 years;Ireland;Females;Tertiary education (levels 5-8);32.8;8.4;58.8;0
842;From 25 to 34 years;Ireland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);32.9;11.9;55.2;0
846;From 25 to 34 years;Ireland;Males;Less than primary, primary and lower secondary education (levels 0-2);37.0;14.9;48.1;0
847;From 25 to 34 years;Ireland;Males;Tertiary education (levels 5-8);47.4;7.1;45.6;2
848;From 25 to 34 years;Ireland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);39.5;14.8;45.8;0
852;From 25 to 34 years;Latvia;Females;Less than primary, primary and lower secondary education (levels 0-2);2.8;23.9;73.30000000000001;0
853;From 25 to 34 years;Latvia;Females;Tertiary education (levels 5-8);22.0;14.2;63.699999999999996;0
854;From 25 to 34 years;Latvia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.3;19.8;75.0;0
858;From 25 to 34 years;Latvia;Males;Less than primary, primary and lower secondary education (levels 0-2);27.200000000000003;10.4;62.5;0
859;From 25 to 34 years;Latvia;Males;Tertiary education (levels 5-8);32.5;9.0;58.5;0
860;From 25 to 34 years;Latvia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);27.8;7.1;65.1;0
865;From 25 to 34 years;Lithuania;Females;Tertiary education (levels 5-8);8.8;15.6;75.6;0
866;From 25 to 34 years;Lithuania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);3.1;10.3;86.5;0
870;From 25 to 34 years;Lithuania;Males;Less than primary, primary and lower secondary education (levels 0-2);51.8;4.6;43.5;2
871;From 25 to 34 years;Lithuania;Males;Tertiary education (levels 5-8);18.400000000000002;6.5;75.0;0
872;From 25 to 34 years;Lithuania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);30.7;6.1;63.199999999999996;0
876;From 25 to 34 years;Luxembourg;Females;Less than primary, primary and lower secondary education (levels 0-2);17.2;30.8;52.0;0
877;From 25 to 34 years;Luxembourg;Females;Tertiary education (levels 5-8);41.800000000000004;19.1;39.1;2
878;From 25 to 34 years;Luxembourg;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);15.9;26.5;57.699999999999996;0
882;From 25 to 34 years;Luxembourg;Males;Less than primary, primary and lower secondary education (levels 0-2);40.9;16.9;42.199999999999996;2
883;From 25 to 34 years;Luxembourg;Males;Tertiary education (levels 5-8);65.9;7.6;26.5;2
884;From 25 to 34 years;Luxembourg;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);57.1;7.8;35.3;2
888;From 25 to 34 years;Malta;Females;Less than primary, primary and lower secondary education (levels 0-2);22.3;26.3;51.5;0
889;From 25 to 34 years;Malta;Females;Tertiary education (levels 5-8);37.4;13.6;49.0;0
890;From 25 to 34 years;Malta;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);28.7;16.0;55.300000000000004;0
894;From 25 to 34 years;Malta;Males;Less than primary, primary and lower secondary education (levels 0-2);49.400000000000006;8.5;42.1;2
895;From 25 to 34 years;Malta;Males;Tertiary education (levels 5-8);55.599999999999994;2.7;41.8;2
896;From 25 to 34 years;Malta;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);35.0;15.0;50.0;0
906;From 25 to 34 years;Norway;Females;Less than primary, primary and lower secondary education (levels 0-2);12.8;29.2;58.0;0
907;From 25 to 34 years;Norway;Females;Tertiary education (levels 5-8);24.6;14.4;60.9;0
908;From 25 to 34 years;Norway;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);15.2;16.9;67.9;0
912;From 25 to 34 years;Norway;Males;Less than primary, primary and lower secondary education (levels 0-2);18.5;18.5;62.9;0
913;From 25 to 34 years;Norway;Males;Tertiary education (levels 5-8);43.900000000000006;7.9;48.3;2
914;From 25 to 34 years;Norway;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);32.300000000000004;9.4;58.2;0
918;From 25 to 34 years;Poland;Females;Less than primary, primary and lower secondary education (levels 0-2);6.7;44.5;48.8;1
919;From 25 to 34 years;Poland;Females;Tertiary education (levels 5-8);16.0;22.8;61.199999999999996;0
920;From 25 to 34 years;Poland;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);11.299999999999999;27.7;60.900000000000006;0
924;From 25 to 34 years;Poland;Males;Less than primary, primary and lower secondary education (levels 0-2);35.1;17.0;47.8;0
925;From 25 to 34 years;Poland;Males;Tertiary education (levels 5-8);39.4;4.8;55.8;0
926;From 25 to 34 years;Poland;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);34.6;8.0;57.4;0
930;From 25 to 34 years;Portugal;Females;Less than primary, primary and lower secondary education (levels 0-2);15.7;52.8;31.4;1
931;From 25 to 34 years;Portugal;Females;Tertiary education (levels 5-8);17.4;26.9;55.7;0
932;From 25 to 34 years;Portugal;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);16.6;37.8;45.5;0
936;From 25 to 34 years;Portugal;Males;Less than primary, primary and lower secondary education (levels 0-2);54.7;14.7;30.6;2
937;From 25 to 34 years;Portugal;Males;Tertiary education (levels 5-8);54.400000000000006;4.8;40.7;2
938;From 25 to 34 years;Portugal;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);47.900000000000006;9.8;42.3;2
942;From 25 to 34 years;Romania;Females;Less than primary, primary and lower secondary education (levels 0-2);8.299999999999999;43.7;48.0;1
943;From 25 to 34 years;Romania;Females;Tertiary education (levels 5-8);3.7;50.4;45.9;1
944;From 25 to 34 years;Romania;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);4.7;51.5;43.8;1
948;From 25 to 34 years;Romania;Males;Less than primary, primary and lower secondary education (levels 0-2);46.300000000000004;19.9;33.699999999999996;2
949;From 25 to 34 years;Romania;Males;Tertiary education (levels 5-8);23.1;23.9;52.9;0
950;From 25 to 34 years;Romania;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);35.4;16.2;48.3;0
960;From 25 to 34 years;Slovakia;Females;Less than primary, primary and lower secondary education (levels 0-2);12.7;47.2;40.0;1
961;From 25 to 34 years;Slovakia;Females;Tertiary education (levels 5-8);11.0;25.0;64.0;0
962;From 25 to 34 years;Slovakia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);7.1000000000000005;29.5;63.3;0
966;From 25 to 34 years;Slovakia;Males;Less than primary, primary and lower secondary education (levels 0-2);40.800000000000004;16.2;43.0;2
967;From 25 to 34 years;Slovakia;Males;Tertiary education (levels 5-8);24.3;14.2;61.4;0
968;From 25 to 34 years;Slovakia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);29.2;13.5;57.3;0
973;From 25 to 34 years;Slovenia;Females;Tertiary education (levels 5-8);23.7;17.9;58.5;0
974;From 25 to 34 years;Slovenia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);14.9;22.6;62.5;0
978;From 25 to 34 years;Slovenia;Males;Less than primary, primary and lower secondary education (levels 0-2);40.4;15.0;44.7;2
979;From 25 to 34 years;Slovenia;Males;Tertiary education (levels 5-8);51.9;8.2;40.0;2
980;From 25 to 34 years;Slovenia;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);43.6;14.8;41.7;2
984;From 25 to 34 years;Spain;Females;Less than primary, primary and lower secondary education (levels 0-2);10.3;49.4;40.2;1
985;From 25 to 34 years;Spain;Females;Tertiary education (levels 5-8);32.3;24.8;42.9;0
986;From 25 to 34 years;Spain;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);20.6;32.2;47.099999999999994;0
990;From 25 to 34 years;Spain;Males;Less than primary, primary and lower secondary education (levels 0-2);38.9;25.3;35.9;2
991;From 25 to 34 years;Spain;Males;Tertiary education (levels 5-8);53.300000000000004;8.9;37.900000000000006;2
992;From 25 to 34 years;Spain;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);40.599999999999994;12.8;46.6;2
996;From 25 to 34 years;Sweden;Females;Less than primary, primary and lower secondary education (levels 0-2);12.1;44.9;42.900000000000006;1
997;From 25 to 34 years;Sweden;Females;Tertiary education (levels 5-8);33.5;11.2;55.300000000000004;0
998;From 25 to 34 years;Sweden;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);21.3;20.8;57.9;0
1002;From 25 to 34 years;Sweden;Males;Less than primary, primary and lower secondary education (levels 0-2);23.5;31.1;45.5;0
1003;From 25 to 34 years;Sweden;Males;Tertiary education (levels 5-8);45.3;6.8;47.900000000000006;2
1004;From 25 to 34 years;Sweden;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);35.199999999999996;7.5;57.3;0
1008;From 25 to 34 years;Türkiye;Females;Less than primary, primary and lower secondary education (levels 0-2);0.7;95.8;3.5999999999999996;1
1009;From 25 to 34 years;Türkiye;Females;Tertiary education (levels 5-8);2.5;75.8;21.7;1
1010;From 25 to 34 years;Türkiye;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);1.2999999999999998;88.7;10.1;1
1014;From 25 to 34 years;Türkiye;Males;Less than primary, primary and lower secondary education (levels 0-2);5.4;72.1;22.5;1
1015;From 25 to 34 years;Türkiye;Males;Tertiary education (levels 5-8);10.0;65.2;24.700000000000003;1
1016;From 25 to 34 years;Türkiye;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);5.9;66.8;27.2;1
1020;From 25 to 34 years;United Kingdom;Females;Less than primary, primary and lower secondary education (levels 0-2);21.8;40.1;38.099999999999994;1
1021;From 25 to 34 years;United Kingdom;Females;Tertiary education (levels 5-8);45.3;16.4;38.3;2
1022;From 25 to 34 years;United Kingdom;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);32.0;16.9;51.1;0
1023;From 25 to 34 years;United Kingdom;Males;Less than primary, primary and lower secondary education (levels 0-2);42.199999999999996;21.6;36.2;2
1024;From 25 to 34 years;United Kingdom;Males;Tertiary education (levels 5-8);63.8;6.7;29.4;2
1025;From 25 to 34 years;United Kingdom;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);51.099999999999994;8.7;40.2;2
1026;From 35 to 44 years;Austria;Females;Less than primary, primary and lower secondary education (levels 0-2);7.800000000000001;26.4;65.8;0
1027;From 35 to 44 years;Austria;Females;Tertiary education (levels 5-8);32.3;12.1;55.6;0
1028;From 35 to 44 years;Austria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);19.700000000000003;15.5;64.8;0
1032;From 35 to 44 years;Austria;Males;Less than primary, primary and lower secondary education (levels 0-2);35.300000000000004;44.1;20.6;1
1033;From 35 to 44 years;Austria;Males;Tertiary education (levels 5-8);58.4;5.5;36.0;2
1034;From 35 to 44 years;Austria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);45.7;10.6;43.7;2
1038;From 35 to 44 years;Belgium;Females;Less than primary, primary and lower secondary education (levels 0-2);25.5;50.6;24.0;1
1039;From 35 to 44 years;Belgium;Females;Tertiary education (levels 5-8);48.099999999999994;13.4;38.5;2
1040;From 35 to 44 years;Belgium;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);40.5;22.0;37.400000000000006;2
1044;From 35 to 44 years;Belgium;Males;Less than primary, primary and lower secondary education (levels 0-2);62.400000000000006;26.7;11.0;2
1045;From 35 to 44 years;Belgium;Males;Tertiary education (levels 5-8);75.1;7.6;17.4;2
1046;From 35 to 44 years;Belgium;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);60.7;10.6;28.700000000000003;2
1050;From 35 to 44 years;Bulgaria;Females;Less than primary, primary and lower secondary education (levels 0-2);11.5;44.8;43.7;1
1051;From 35 to 44 years;Bulgaria;Females;Tertiary education (levels 5-8);21.3;23.8;54.900000000000006;0
1052;From 35 to 44 years;Bulgaria;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);22.6;31.8;45.599999999999994;0
1056;From 35 to 44 years;Bulgaria;Males;Less than primary, primary and lower secondary education (levels 0-2);61.5;19.6;19.0;2
1057;From 35 to 44 years;Bulgaria;Males;Tertiary education (levels 5-8);38.1;13.3;48.6;0
1058;From 35 to 44 years;Bulgaria;Males;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);47.0;13.3;39.699999999999996;2
1062;From 35 to 44 years;Croatia;Females;Less than primary, primary and lower secondary education (levels 0-2);6.9;64.9;28.200000000000003;1
1063;From 35 to 44 years;Croatia;Females;Tertiary education (levels 5-8);19.8;35.8;44.4;0
1064;From 35 to 44 years;Croatia;Females;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);8.9;58.7;32.4;1
