;age;geo;sex;quant_inc;Frequent drinkers;Non-drinkers;Occasional drinkers;clusters
822;From 15 to 24 years;Iceland;Males;Fourth quintile;13.1;29.4;57.4;3
823;From 15 to 24 years;Iceland;Males;Second quintile;13.2;48.6;38.3;2
824;From 15 to 24 years;Iceland;Males;Third quintile;5.0;38.4;56.5;2
830;From 15 to 24 years;Ireland;Females;Fifth quintile;31.9;27.4;40.699999999999996;2
831;From 15 to 24 years;Ireland;Females;First quintile;28.7;33.3;38.0;2
832;From 15 to 24 years;Ireland;Females;Fourth quintile;25.2;28.5;46.3;2
833;From 15 to 24 years;Ireland;Females;Second quintile;20.2;16.9;62.9;3
834;From 15 to 24 years;Ireland;Females;Third quintile;38.7;13.6;47.7;3
840;From 15 to 24 years;Ireland;Males;Fifth quintile;40.3;31.4;28.4;0
841;From 15 to 24 years;Ireland;Males;First quintile;37.5;11.8;50.6;3
842;From 15 to 24 years;Ireland;Males;Fourth quintile;31.8;26.4;41.8;2
843;From 15 to 24 years;Ireland;Males;Second quintile;19.7;37.7;42.5;2
844;From 15 to 24 years;Ireland;Males;Third quintile;38.0;20.2;41.8;0
850;From 15 to 24 years;Latvia;Females;Fifth quintile;13.1;14.6;72.3;3
851;From 15 to 24 years;Latvia;Females;First quintile;7.0;42.7;50.400000000000006;2
852;From 15 to 24 years;Latvia;Females;Fourth quintile;10.9;20.2;69.0;3
853;From 15 to 24 years;Latvia;Females;Second quintile;2.0;34.2;63.8;3
854;From 15 to 24 years;Latvia;Females;Third quintile;10.8;34.0;55.2;2
860;From 15 to 24 years;Latvia;Males;Fifth quintile;9.2;12.7;78.1;3
861;From 15 to 24 years;Latvia;Males;First quintile;13.700000000000001;28.5;57.8;3
862;From 15 to 24 years;Latvia;Males;Fourth quintile;23.3;6.7;70.0;3
863;From 15 to 24 years;Latvia;Males;Second quintile;8.6;32.1;59.3;3
864;From 15 to 24 years;Latvia;Males;Third quintile;8.0;35.9;56.2;2
870;From 15 to 24 years;Lithuania;Females;Fifth quintile;6.0;39.5;54.5;2
871;From 15 to 24 years;Lithuania;Females;First quintile;10.4;38.2;51.4;2
872;From 15 to 24 years;Lithuania;Females;Fourth quintile;8.7;44.6;46.7;2
873;From 15 to 24 years;Lithuania;Females;Second quintile;0.0;41.3;58.8;2
874;From 15 to 24 years;Lithuania;Females;Third quintile;2.7;46.7;50.5;2
880;From 15 to 24 years;Lithuania;Males;Fifth quintile;13.5;34.2;52.3;2
881;From 15 to 24 years;Lithuania;Males;First quintile;23.6;36.1;40.3;2
882;From 15 to 24 years;Lithuania;Males;Fourth quintile;9.7;43.6;46.8;2
883;From 15 to 24 years;Lithuania;Males;Second quintile;7.7;36.6;55.7;2
884;From 15 to 24 years;Lithuania;Males;Third quintile;3.9;25.1;71.1;3
891;From 15 to 24 years;Luxembourg;Females;First quintile;23.4;33.2;43.5;2
893;From 15 to 24 years;Luxembourg;Females;Second quintile;23.8;17.0;59.2;3
901;From 15 to 24 years;Luxembourg;Males;First quintile;26.3;26.9;46.9;2
910;From 15 to 24 years;Malta;Females;Fifth quintile;50.1;17.8;32.2;0
912;From 15 to 24 years;Malta;Females;Fourth quintile;28.1;15.6;56.2;3
913;From 15 to 24 years;Malta;Females;Second quintile;29.4;18.1;52.5;3
914;From 15 to 24 years;Malta;Females;Third quintile;35.6;21.4;42.9;3
920;From 15 to 24 years;Malta;Males;Fifth quintile;63.300000000000004;4.7;32.1;0
921;From 15 to 24 years;Malta;Males;First quintile;38.4;22.3;39.4;0
922;From 15 to 24 years;Malta;Males;Fourth quintile;54.3;6.9;38.8;0
923;From 15 to 24 years;Malta;Males;Second quintile;43.7;22.6;33.7;0
924;From 15 to 24 years;Malta;Males;Third quintile;57.3;15.1;27.6;0
940;From 15 to 24 years;Norway;Females;Fifth quintile;10.3;30.4;59.3;3
941;From 15 to 24 years;Norway;Females;First quintile;12.7;30.2;57.1;3
942;From 15 to 24 years;Norway;Females;Fourth quintile;9.2;21.5;69.3;3
943;From 15 to 24 years;Norway;Females;Second quintile;10.9;22.6;66.5;3
944;From 15 to 24 years;Norway;Females;Third quintile;5.5;16.3;78.2;3
950;From 15 to 24 years;Norway;Males;Fifth quintile;20.9;16.5;62.6;3
951;From 15 to 24 years;Norway;Males;First quintile;18.6;25.1;56.3;3
952;From 15 to 24 years;Norway;Males;Fourth quintile;25.3;21.3;53.4;3
953;From 15 to 24 years;Norway;Males;Second quintile;12.8;33.3;53.9;2
954;From 15 to 24 years;Norway;Males;Third quintile;12.7;29.5;57.8;3
960;From 15 to 24 years;Poland;Females;Fifth quintile;17.1;40.7;42.099999999999994;2
961;From 15 to 24 years;Poland;Females;First quintile;3.9;55.1;41.0;2
962;From 15 to 24 years;Poland;Females;Fourth quintile;11.5;42.6;45.9;2
963;From 15 to 24 years;Poland;Females;Second quintile;5.1;49.0;45.9;2
964;From 15 to 24 years;Poland;Females;Third quintile;8.2;46.3;45.5;2
970;From 15 to 24 years;Poland;Males;Fifth quintile;23.4;34.3;42.3;2
971;From 15 to 24 years;Poland;Males;First quintile;10.7;39.4;49.900000000000006;2
972;From 15 to 24 years;Poland;Males;Fourth quintile;17.2;20.9;61.9;3
973;From 15 to 24 years;Poland;Males;Second quintile;13.7;34.3;52.0;2
974;From 15 to 24 years;Poland;Males;Third quintile;15.299999999999999;37.3;47.4;2
980;From 15 to 24 years;Portugal;Females;Fifth quintile;25.2;20.5;54.2;3
981;From 15 to 24 years;Portugal;Females;First quintile;6.2;43.5;50.4;2
982;From 15 to 24 years;Portugal;Females;Fourth quintile;11.8;33.1;55.099999999999994;2
983;From 15 to 24 years;Portugal;Females;Second quintile;7.8;44.5;47.6;2
984;From 15 to 24 years;Portugal;Females;Third quintile;12.0;38.2;49.8;2
990;From 15 to 24 years;Portugal;Males;Fifth quintile;21.6;25.7;52.6;3
991;From 15 to 24 years;Portugal;Males;First quintile;26.3;31.0;42.6;2
992;From 15 to 24 years;Portugal;Males;Fourth quintile;39.1;24.9;36.0;0
993;From 15 to 24 years;Portugal;Males;Second quintile;28.5;23.5;48.0;3
994;From 15 to 24 years;Portugal;Males;Third quintile;27.3;30.0;42.7;2
1000;From 15 to 24 years;Romania;Females;Fifth quintile;0.8;69.4;29.9;1
1001;From 15 to 24 years;Romania;Females;First quintile;1.4;69.3;29.4;1
1002;From 15 to 24 years;Romania;Females;Fourth quintile;0.4;74.9;24.8;1
1003;From 15 to 24 years;Romania;Females;Second quintile;1.7;77.6;20.7;1
1004;From 15 to 24 years;Romania;Females;Third quintile;2.4;70.1;27.5;1
1010;From 15 to 24 years;Romania;Males;Fifth quintile;10.9;44.7;44.4;2
1011;From 15 to 24 years;Romania;Males;First quintile;10.1;56.6;33.2;2
1012;From 15 to 24 years;Romania;Males;Fourth quintile;10.2;62.4;27.4;1
1013;From 15 to 24 years;Romania;Males;Second quintile;8.0;59.6;32.3;1
1014;From 15 to 24 years;Romania;Males;Third quintile;11.9;50.2;37.9;2
1030;From 15 to 24 years;Slovakia;Females;Fifth quintile;3.4;21.4;75.2;3
1031;From 15 to 24 years;Slovakia;Females;First quintile;6.1;38.4;55.400000000000006;2
1032;From 15 to 24 years;Slovakia;Females;Fourth quintile;12.3;36.7;51.0;2
1033;From 15 to 24 years;Slovakia;Females;Second quintile;2.5;63.5;34.0;1
1034;From 15 to 24 years;Slovakia;Females;Third quintile;8.9;43.2;47.8;2
1040;From 15 to 24 years;Slovakia;Males;Fifth quintile;34.8;15.0;50.3;3
1041;From 15 to 24 years;Slovakia;Males;First quintile;16.8;35.9;47.4;2
1042;From 15 to 24 years;Slovakia;Males;Fourth quintile;18.0;28.8;53.3;3
1043;From 15 to 24 years;Slovakia;Males;Second quintile;9.8;28.6;61.599999999999994;3
1044;From 15 to 24 years;Slovakia;Males;Third quintile;11.9;40.8;47.3;2
1050;From 15 to 24 years;Slovenia;Females;Fifth quintile;13.1;20.2;66.69999999999999;3
1051;From 15 to 24 years;Slovenia;Females;First quintile;8.5;28.0;63.5;3
1052;From 15 to 24 years;Slovenia;Females;Fourth quintile;13.3;26.5;60.2;3
1053;From 15 to 24 years;Slovenia;Females;Second quintile;16.2;32.8;51.0;2
1054;From 15 to 24 years;Slovenia;Females;Third quintile;20.3;18.3;61.5;3
1060;From 15 to 24 years;Slovenia;Males;Fifth quintile;43.599999999999994;12.1;44.2;0
1061;From 15 to 24 years;Slovenia;Males;First quintile;28.3;20.0;51.7;3
1062;From 15 to 24 years;Slovenia;Males;Fourth quintile;30.1;17.1;52.599999999999994;3
1063;From 15 to 24 years;Slovenia;Males;Second quintile;31.2;21.2;47.6;3
1064;From 15 to 24 years;Slovenia;Males;Third quintile;22.8;17.4;59.8;3
1070;From 15 to 24 years;Spain;Females;Fifth quintile;26.3;32.7;41.1;2
1071;From 15 to 24 years;Spain;Females;First quintile;9.7;51.2;39.2;2
1072;From 15 to 24 years;Spain;Females;Fourth quintile;22.4;31.1;46.599999999999994;2
1073;From 15 to 24 years;Spain;Females;Second quintile;12.0;39.1;48.9;2
1074;From 15 to 24 years;Spain;Females;Third quintile;20.5;36.3;43.099999999999994;2
1080;From 15 to 24 years;Spain;Males;Fifth quintile;49.800000000000004;26.5;23.8;0
1081;From 15 to 24 years;Spain;Males;First quintile;23.2;30.5;46.3;2
1082;From 15 to 24 years;Spain;Males;Fourth quintile;29.4;30.0;40.599999999999994;2
1083;From 15 to 24 years;Spain;Males;Second quintile;24.0;36.0;40.099999999999994;2
1084;From 15 to 24 years;Spain;Males;Third quintile;25.1;39.3;35.6;2
1091;From 15 to 24 years;Sweden;Females;First quintile;10.6;42.7;46.599999999999994;2
1093;From 15 to 24 years;Sweden;Females;Second quintile;28.1;14.5;57.3;3
1094;From 15 to 24 years;Sweden;Females;Third quintile;28.6;13.7;57.6;3
1101;From 15 to 24 years;Sweden;Males;First quintile;13.6;42.4;44.0;2
1102;From 15 to 24 years;Sweden;Males;Fourth quintile;24.0;11.8;64.2;3
1103;From 15 to 24 years;Sweden;Males;Second quintile;37.6;4.0;58.400000000000006;3
1104;From 15 to 24 years;Sweden;Males;Third quintile;40.2;3.1;56.599999999999994;3
1110;From 15 to 24 years;Türkiye;Females;Fifth quintile;0.9;89.0;10.1;1
1111;From 15 to 24 years;Türkiye;Females;First quintile;0.0;97.2;2.8;1
1112;From 15 to 24 years;Türkiye;Females;Fourth quintile;0.3;92.0;7.8;1
1113;From 15 to 24 years;Türkiye;Females;Second quintile;0.0;96.0;3.9000000000000004;1
1114;From 15 to 24 years;Türkiye;Females;Third quintile;0.8;93.6;5.6;1
1120;From 15 to 24 years;Türkiye;Males;Fifth quintile;2.5;78.2;19.200000000000003;1
1121;From 15 to 24 years;Türkiye;Males;First quintile;3.4;83.7;12.899999999999999;1
1122;From 15 to 24 years;Türkiye;Males;Fourth quintile;4.0;73.6;22.4;1
1123;From 15 to 24 years;Türkiye;Males;Second quintile;2.8000000000000003;79.8;17.4;1
1124;From 15 to 24 years;Türkiye;Males;Third quintile;5.2;77.8;17.0;1
1130;From 15 to 24 years;United Kingdom;Females;Fifth quintile;50.1;8.7;41.2;0
1131;From 15 to 24 years;United Kingdom;Females;First quintile;21.9;37.7;40.4;2
1132;From 15 to 24 years;United Kingdom;Females;Fourth quintile;46.2;8.2;45.7;0
1133;From 15 to 24 years;United Kingdom;Females;Second quintile;20.3;19.9;59.9;3
1134;From 15 to 24 years;United Kingdom;Females;Third quintile;28.8;18.1;53.1;3
1135;From 15 to 24 years;United Kingdom;Males;Fifth quintile;50.7;15.9;33.4;0
1136;From 15 to 24 years;United Kingdom;Males;First quintile;25.3;35.1;39.5;2
1137;From 15 to 24 years;United Kingdom;Males;Fourth quintile;37.5;19.9;42.7;3
1138;From 15 to 24 years;United Kingdom;Males;Second quintile;34.8;23.5;41.7;3
1139;From 15 to 24 years;United Kingdom;Males;Third quintile;49.4;18.2;32.3;0
1140;From 25 to 34 years;Austria;Females;Fifth quintile;31.8;17.6;50.6;3
1141;From 25 to 34 years;Austria;Females;First quintile;10.2;28.2;61.7;3
1142;From 25 to 34 years;Austria;Females;Fourth quintile;18.6;21.7;59.8;3
1143;From 25 to 34 years;Austria;Females;Second quintile;13.3;29.4;57.2;3
1144;From 25 to 34 years;Austria;Females;Third quintile;20.2;22.0;57.900000000000006;3
1150;From 25 to 34 years;Austria;Males;Fifth quintile;59.9;2.1;38.0;0
1151;From 25 to 34 years;Austria;Males;First quintile;38.1;14.3;47.6;3
1152;From 25 to 34 years;Austria;Males;Fourth quintile;45.5;8.3;46.2;0
1153;From 25 to 34 years;Austria;Males;Second quintile;42.6;15.2;42.2;0
1154;From 25 to 34 years;Austria;Males;Third quintile;48.4;7.3;44.2;0
1160;From 25 to 34 years;Belgium;Females;Fifth quintile;38.8;10.4;50.8;3
1161;From 25 to 34 years;Belgium;Females;First quintile;12.2;43.0;44.8;2
1162;From 25 to 34 years;Belgium;Females;Fourth quintile;29.5;12.7;57.7;3
1163;From 25 to 34 years;Belgium;Females;Second quintile;29.3;27.5;43.1;2
1164;From 25 to 34 years;Belgium;Females;Third quintile;22.3;28.6;49.1;2
1170;From 25 to 34 years;Belgium;Males;Fifth quintile;68.8;3.7;27.5;0
1171;From 25 to 34 years;Belgium;Males;First quintile;36.2;27.8;36.0;2
1172;From 25 to 34 years;Belgium;Males;Fourth quintile;64.9;9.7;25.299999999999997;0
1173;From 25 to 34 years;Belgium;Males;Second quintile;45.4;23.0;31.6;0
1174;From 25 to 34 years;Belgium;Males;Third quintile;52.300000000000004;14.8;33.0;0
1180;From 25 to 34 years;Bulgaria;Females;Fifth quintile;22.5;12.0;65.5;3
1181;From 25 to 34 years;Bulgaria;Females;First quintile;11.899999999999999;48.2;39.8;2
1182;From 25 to 34 years;Bulgaria;Females;Fourth quintile;17.2;24.6;58.199999999999996;3
1183;From 25 to 34 years;Bulgaria;Females;Second quintile;6.8;48.7;44.5;2
1184;From 25 to 34 years;Bulgaria;Females;Third quintile;14.9;43.2;41.8;2
1190;From 25 to 34 years;Bulgaria;Males;Fifth quintile;42.8;17.4;39.8;0
1191;From 25 to 34 years;Bulgaria;Males;First quintile;40.1;24.1;35.800000000000004;0
1192;From 25 to 34 years;Bulgaria;Males;Fourth quintile;37.0;7.2;55.9;3
1193;From 25 to 34 years;Bulgaria;Males;Second quintile;26.299999999999997;24.5;49.2;3
1194;From 25 to 34 years;Bulgaria;Males;Third quintile;39.9;15.6;44.5;0
1200;From 25 to 34 years;Croatia;Females;Fifth quintile;9.9;43.9;46.2;2
1201;From 25 to 34 years;Croatia;Females;First quintile;2.5;68.9;28.6;1
1202;From 25 to 34 years;Croatia;Females;Fourth quintile;7.3;62.4;30.2;1
1203;From 25 to 34 years;Croatia;Females;Second quintile;6.7;44.8;48.5;2
1204;From 25 to 34 years;Croatia;Females;Third quintile;12.0;52.2;35.8;2
1210;From 25 to 34 years;Croatia;Males;Fifth quintile;30.7;20.0;49.3;3
1211;From 25 to 34 years;Croatia;Males;First quintile;25.1;33.4;41.400000000000006;2
1212;From 25 to 34 years;Croatia;Males;Fourth quintile;32.2;40.2;27.6;2
1213;From 25 to 34 years;Croatia;Males;Second quintile;40.9;21.5;37.6;0
1214;From 25 to 34 years;Croatia;Males;Third quintile;33.9;16.9;49.300000000000004;3
1220;From 25 to 34 years;Cyprus;Females;Fifth quintile;22.6;45.3;32.1;2
1221;From 25 to 34 years;Cyprus;Females;First quintile;4.7;71.5;23.8;1
1222;From 25 to 34 years;Cyprus;Females;Fourth quintile;9.4;45.6;44.900000000000006;2
1223;From 25 to 34 years;Cyprus;Females;Second quintile;7.5;64.7;27.900000000000002;1
1224;From 25 to 34 years;Cyprus;Females;Third quintile;8.4;56.6;35.1;2
1230;From 25 to 34 years;Cyprus;Males;Fifth quintile;37.300000000000004;27.7;35.1;0
1231;From 25 to 34 years;Cyprus;Males;First quintile;27.3;29.6;43.2;2
1232;From 25 to 34 years;Cyprus;Males;Fourth quintile;39.2;16.0;44.8;3
1233;From 25 to 34 years;Cyprus;Males;Second quintile;18.599999999999998;32.3;49.0;2
1234;From 25 to 34 years;Cyprus;Males;Third quintile;32.4;24.3;43.4;3
1240;From 25 to 34 years;Czechia;Females;Fifth quintile;35.5;10.9;53.6;3
1241;From 25 to 34 years;Czechia;Females;First quintile;19.7;9.3;71.0;3
1242;From 25 to 34 years;Czechia;Females;Fourth quintile;31.5;19.3;49.2;3
1243;From 25 to 34 years;Czechia;Females;Second quintile;15.9;8.9;75.2;3
1244;From 25 to 34 years;Czechia;Females;Third quintile;18.2;17.4;64.4;3
1250;From 25 to 34 years;Czechia;Males;Fifth quintile;61.0;2.6;36.3;0
1251;From 25 to 34 years;Czechia;Males;First quintile;52.6;9.8;37.6;0
1252;From 25 to 34 years;Czechia;Males;Fourth quintile;58.4;9.4;32.3;0
1253;From 25 to 34 years;Czechia;Males;Second quintile;61.0;9.4;29.6;0
1254;From 25 to 34 years;Czechia;Males;Third quintile;62.5;6.8;30.7;0
1260;From 25 to 34 years;Denmark;Females;Fifth quintile;25.5;10.6;63.900000000000006;3
1261;From 25 to 34 years;Denmark;Females;First quintile;23.8;15.9;60.3;3
1262;From 25 to 34 years;Denmark;Females;Fourth quintile;21.1;11.3;67.6;3
1263;From 25 to 34 years;Denmark;Females;Second quintile;27.3;18.2;54.5;3
1264;From 25 to 34 years;Denmark;Females;Third quintile;21.9;12.3;65.8;3
1270;From 25 to 34 years;Denmark;Males;Fifth quintile;47.6;0.0;52.4;0
1271;From 25 to 34 years;Denmark;Males;First quintile;38.300000000000004;14.9;46.8;3
1272;From 25 to 34 years;Denmark;Males;Fourth quintile;61.2;1.5;37.4;0
1273;From 25 to 34 years;Denmark;Males;Second quintile;43.6;2.6;53.9;3
1274;From 25 to 34 years;Denmark;Males;Third quintile;46.0;4.0;50.0;0
1280;From 25 to 34 years;Estonia;Females;Fifth quintile;24.4;12.1;63.4;3
1281;From 25 to 34 years;Estonia;Females;First quintile;14.6;22.6;62.800000000000004;3
1282;From 25 to 34 years;Estonia;Females;Fourth quintile;13.3;15.2;71.5;3
1283;From 25 to 34 years;Estonia;Females;Second quintile;22.8;13.5;63.7;3
1284;From 25 to 34 years;Estonia;Females;Third quintile;9.1;11.8;79.0;3
1290;From 25 to 34 years;Estonia;Males;Fifth quintile;45.300000000000004;5.6;49.0;0
1291;From 25 to 34 years;Estonia;Males;First quintile;42.2;8.2;49.599999999999994;3
1292;From 25 to 34 years;Estonia;Males;Fourth quintile;38.5;4.3;57.2;3
1293;From 25 to 34 years;Estonia;Males;Second quintile;28.7;8.1;63.2;3
1294;From 25 to 34 years;Estonia;Males;Third quintile;35.800000000000004;7.0;57.199999999999996;3
1300;From 25 to 34 years;Finland;Females;Fifth quintile;37.7;5.8;56.5;3
1301;From 25 to 34 years;Finland;Females;First quintile;20.599999999999998;12.7;66.7;3
1302;From 25 to 34 years;Finland;Females;Fourth quintile;24.1;12.2;63.7;3
1303;From 25 to 34 years;Finland;Females;Second quintile;21.0;8.1;70.8;3
1304;From 25 to 34 years;Finland;Females;Third quintile;21.099999999999998;10.1;68.8;3
1305;From 25 to 34 years;Finland;Males;Fifth quintile;52.5;6.1;41.400000000000006;0
1306;From 25 to 34 years;Finland;Males;First quintile;27.4;22.4;50.2;3
1307;From 25 to 34 years;Finland;Males;Fourth quintile;48.7;11.9;39.4;0
1308;From 25 to 34 years;Finland;Males;Second quintile;47.2;8.8;44.0;0
1309;From 25 to 34 years;Finland;Males;Third quintile;51.800000000000004;1.7;46.400000000000006;0
1320;From 25 to 34 years;Germany;Females;Fifth quintile;38.5;11.8;49.8;3
1321;From 25 to 34 years;Germany;Females;First quintile;26.599999999999998;22.0;51.400000000000006;3
1322;From 25 to 34 years;Germany;Females;Fourth quintile;29.099999999999998;15.3;55.5;3
1323;From 25 to 34 years;Germany;Females;Second quintile;29.5;13.8;56.8;3
1324;From 25 to 34 years;Germany;Females;Third quintile;27.200000000000003;15.3;57.5;3
1330;From 25 to 34 years;Germany;Males;Fifth quintile;67.1;5.0;27.9;0
1331;From 25 to 34 years;Germany;Males;First quintile;48.2;18.0;33.8;0
1332;From 25 to 34 years;Germany;Males;Fourth quintile;58.699999999999996;3.5;37.8;0
1333;From 25 to 34 years;Germany;Males;Second quintile;51.8;12.9;35.3;0
1334;From 25 to 34 years;Germany;Males;Third quintile;52.4;7.1;40.5;0
1340;From 25 to 34 years;Greece;Females;Fifth quintile;24.8;23.1;52.1;3
1341;From 25 to 34 years;Greece;Females;First quintile;20.1;41.8;38.1;2
1342;From 25 to 34 years;Greece;Females;Fourth quintile;20.9;26.9;52.099999999999994;3
1343;From 25 to 34 years;Greece;Females;Second quintile;18.9;31.3;49.8;2
1344;From 25 to 34 years;Greece;Females;Third quintile;17.1;21.2;61.8;3
1350;From 25 to 34 years;Greece;Males;Fifth quintile;46.300000000000004;7.3;46.4;0
1351;From 25 to 34 years;Greece;Males;First quintile;52.6;13.3;34.1;0
1352;From 25 to 34 years;Greece;Males;Fourth quintile;46.3;9.6;44.1;0
1353;From 25 to 34 years;Greece;Males;Second quintile;44.300000000000004;9.5;46.300000000000004;0
1354;From 25 to 34 years;Greece;Males;Third quintile;41.6;15.3;43.2;0
1360;From 25 to 34 years;Hungary;Females;Fifth quintile;11.9;29.0;59.099999999999994;3
1361;From 25 to 34 years;Hungary;Females;First quintile;3.7;51.9;44.4;2
1362;From 25 to 34 years;Hungary;Females;Fourth quintile;12.3;26.9;60.8;3
1363;From 25 to 34 years;Hungary;Females;Second quintile;10.2;37.3;52.4;2
1364;From 25 to 34 years;Hungary;Females;Third quintile;4.0;33.0;63.0;3
1370;From 25 to 34 years;Hungary;Males;Fifth quintile;38.6;7.9;53.599999999999994;3
1371;From 25 to 34 years;Hungary;Males;First quintile;20.700000000000003;30.6;48.7;2
1372;From 25 to 34 years;Hungary;Males;Fourth quintile;37.7;10.3;52.0;3
1373;From 25 to 34 years;Hungary;Males;Second quintile;26.1;16.5;57.3;3
1374;From 25 to 34 years;Hungary;Males;Third quintile;25.5;14.8;59.599999999999994;3
1380;From 25 to 34 years;Iceland;Females;Fifth quintile;13.5;7.6;78.9;3
1381;From 25 to 34 years;Iceland;Females;First quintile;8.9;3.0;88.19999999999999;3
1382;From 25 to 34 years;Iceland;Females;Fourth quintile;15.6;2.0;82.4;3
1383;From 25 to 34 years;Iceland;Females;Second quintile;9.3;7.2;83.6;3
1384;From 25 to 34 years;Iceland;Females;Third quintile;15.9;8.8;75.3;3
1390;From 25 to 34 years;Iceland;Males;Fifth quintile;29.1;2.8;68.2;3
1391;From 25 to 34 years;Iceland;Males;First quintile;30.8;11.9;57.3;3
1392;From 25 to 34 years;Iceland;Males;Fourth quintile;27.7;15.6;56.6;3
1393;From 25 to 34 years;Iceland;Males;Second quintile;28.2;4.7;67.1;3
1394;From 25 to 34 years;Iceland;Males;Third quintile;20.6;5.4;73.9;3
1400;From 25 to 34 years;Ireland;Females;Fifth quintile;31.5;11.6;56.9;3
1401;From 25 to 34 years;Ireland;Females;First quintile;32.6;7.0;60.3;3
1402;From 25 to 34 years;Ireland;Females;Fourth quintile;32.6;10.3;57.099999999999994;3
1403;From 25 to 34 years;Ireland;Females;Second quintile;28.2;14.1;57.8;3
1404;From 25 to 34 years;Ireland;Females;Third quintile;36.3;11.4;52.3;3
1410;From 25 to 34 years;Ireland;Males;Fifth quintile;47.4;7.6;45.0;0
1411;From 25 to 34 years;Ireland;Males;First quintile;37.800000000000004;17.7;44.5;3
1412;From 25 to 34 years;Ireland;Males;Fourth quintile;43.1;10.0;46.9;0
1413;From 25 to 34 years;Ireland;Males;Second quintile;41.9;7.5;50.5;3
1414;From 25 to 34 years;Ireland;Males;Third quintile;45.5;10.6;43.9;0
1420;From 25 to 34 years;Latvia;Females;Fifth quintile;22.0;13.7;64.4;3
1421;From 25 to 34 years;Latvia;Females;First quintile;3.4;16.8;79.9;3
1422;From 25 to 34 years;Latvia;Females;Fourth quintile;10.8;18.9;70.3;3
1423;From 25 to 34 years;Latvia;Females;Second quintile;10.6;23.7;65.7;3
1424;From 25 to 34 years;Latvia;Females;Third quintile;9.1;17.4;73.5;3
1430;From 25 to 34 years;Latvia;Males;Fifth quintile;32.0;6.6;61.4;3
1431;From 25 to 34 years;Latvia;Males;First quintile;37.7;10.3;51.900000000000006;3
1432;From 25 to 34 years;Latvia;Males;Fourth quintile;24.5;6.6;69.0;3
1433;From 25 to 34 years;Latvia;Males;Second quintile;19.1;5.7;75.3;3
1434;From 25 to 34 years;Latvia;Males;Third quintile;23.900000000000002;16.3;59.900000000000006;3
1440;From 25 to 34 years;Lithuania;Females;Fifth quintile;7.8;15.4;76.8;3
1441;From 25 to 34 years;Lithuania;Females;First quintile;5.7;15.8;78.5;3
1442;From 25 to 34 years;Lithuania;Females;Fourth quintile;6.2;18.0;75.8;3
1443;From 25 to 34 years;Lithuania;Females;Second quintile;16.7;6.0;77.3;3
1444;From 25 to 34 years;Lithuania;Females;Third quintile;0.0;10.4;89.6;3
1450;From 25 to 34 years;Lithuania;Males;Fifth quintile;20.9;4.0;75.1;3
1451;From 25 to 34 years;Lithuania;Males;First quintile;39.2;8.2;52.6;3
1452;From 25 to 34 years;Lithuania;Males;Fourth quintile;21.3;6.7;72.0;3
1453;From 25 to 34 years;Lithuania;Males;Second quintile;33.5;3.5;63.0;3
1454;From 25 to 34 years;Lithuania;Males;Third quintile;27.4;10.6;62.0;3
1460;From 25 to 34 years;Luxembourg;Females;Fifth quintile;34.9;20.9;44.1;3
1461;From 25 to 34 years;Luxembourg;Females;First quintile;8.6;31.2;60.2;3
1462;From 25 to 34 years;Luxembourg;Females;Fourth quintile;42.099999999999994;15.6;42.4;0
1463;From 25 to 34 years;Luxembourg;Females;Second quintile;27.9;28.0;44.2;2
1464;From 25 to 34 years;Luxembourg;Females;Third quintile;36.5;15.6;47.9;3
1470;From 25 to 34 years;Luxembourg;Males;Fifth quintile;69.9;3.5;26.6;0
1471;From 25 to 34 years;Luxembourg;Males;First quintile;35.9;24.5;39.7;2
1472;From 25 to 34 years;Luxembourg;Males;Fourth quintile;62.0;2.1;35.9;0
1473;From 25 to 34 years;Luxembourg;Males;Second quintile;70.4;7.9;21.8;0
1474;From 25 to 34 years;Luxembourg;Males;Third quintile;58.4;9.8;31.8;0
1480;From 25 to 34 years;Malta;Females;Fifth quintile;35.6;17.2;47.1;3
1481;From 25 to 34 years;Malta;Females;First quintile;9.0;24.5;66.5;3
1482;From 25 to 34 years;Malta;Females;Fourth quintile;42.4;8.6;49.0;3
1483;From 25 to 34 years;Malta;Females;Second quintile;22.0;33.2;44.8;2
1484;From 25 to 34 years;Malta;Females;Third quintile;28.4;17.1;54.6;3
1490;From 25 to 34 years;Malta;Males;Fifth quintile;70.10000000000001;2.1;27.7;0
1492;From 25 to 34 years;Malta;Males;Fourth quintile;46.4;4.7;48.9;0
1493;From 25 to 34 years;Malta;Males;Second quintile;41.4;6.7;51.9;3
1494;From 25 to 34 years;Malta;Males;Third quintile;40.300000000000004;15.3;44.4;0
1510;From 25 to 34 years;Norway;Females;Fifth quintile;26.7;5.7;67.6;3
1511;From 25 to 34 years;Norway;Females;First quintile;19.3;28.0;52.6;3
1512;From 25 to 34 years;Norway;Females;Fourth quintile;16.6;15.2;68.3;3
1513;From 25 to 34 years;Norway;Females;Second quintile;13.2;33.4;53.5;2
1514;From 25 to 34 years;Norway;Females;Third quintile;22.7;19.7;57.6;3
1520;From 25 to 34 years;Norway;Males;Fifth quintile;42.5;9.3;48.1;0
1521;From 25 to 34 years;Norway;Males;First quintile;34.199999999999996;17.7;48.1;3
1522;From 25 to 34 years;Norway;Males;Fourth quintile;38.6;8.1;53.2;3
